ITEM,DESCRIPCION,MINIMO,PROBABLE,MAXIMO
01.04.01,"CARTEL DE IDENTIFICACIÓN DE LA OBRA, LIMPIEZA DE TERRENO MANUAL, TRAZO, NIVELES REPLANTEO PRELIMINAR (LOSA DEPORTIVA)",0.5,1.0,2.0,
01.04.01,"EXCAVACION MASIVA C/MAQUINARIA PESADA EN TERRENO NORMAL (LOSA DEPORTIVA)",0.5,1.0,2.0,
01.04.01,"LIMPIEZA DE TERRENO, TRAZO, NIVELES Y REPLANTEO PRELIMINAR (SS.HH)",0.5,1.0,2.0,
01.02.01,"EXCAVACIONES PARA ZAPATAS DE 1.40M A 1.70M Y EXCAVACIONES DE ZANJAS PARA CIMIENTOS",1.0,2.0,4.0,
01.03.01,"SOLADO PARA ZAPATAS E=4",0.5,1.0,2.0,
01.03.02,"CIMIENTO CORRIDO 1:10+30%PG",0.5,1.0,2.0,
01.03.03,"CONCRETO 1:8+25%PM PARA SOBRECIMIENTOS, ENCOFRADO Y DESENCOFRADO NORMAL PARA SOBRECIMIENTO HASTA 0.30 M",1.0,2.0,4.0,
01.04.01.0,CONCRETO PARA ZAPATAS FC=210KG/CM2 Y ACERO PARA ZAPATAS FY=4200KG/CM2",0.5,1.0,2.0,
01.04.02.0,"CONCRETO PARA COLUMNAS FC=210KG/CM2, ENCOFRADO Y DESENCOFRADO PARA COLUMNAS, ACERO ESTRUCTURAL PARA COLUMNA, FY=4200KG/CM2",8.0,10.0,15.0,
02.02.02,"TARRAJE0 EN MUROS INTERIORES",2.0,3.0,5.0,
02.02.03,"TARRAJE0 EN MUROS EXTERIORES",2.0,3.0,5.0,
